BIN1_CHR	BIN1_START	BIN1_END	BIN2_CHROMOSOME	BIN2_START	BIN2_END	FDR	DETECTION_SCALE
chr18	65630000	65640000	chr18	65880000	65890000	0.007366055368841967	2.111212657236631
chr18	70030000	70040000	chr18	70310000	70320000	0.008669397880512061	2.111212657236631
chr18	74940000	74950000	chr18	75100000	75110000	0.0033022853740243274	2.599207668339954
chr18	75910000	75920000	chr18	76270000	76280000	0.005370641721902758	2.599207668339954
chr18	77390000	77400000	chr18	77690000	77700000	0.004870137445007416	2.599207668339954
chr18	80320000	80330000	chr18	80490000	80500000	0.005370641721902758	2.111212657236631
chr18	82040000	82050000	chr18	82580000	82590000	0.005370641721902758	2.111212657236631
chr18	82770000	82780000	chr18	82970000	82980000	0.0026572407187035463	3.2
chr18	88790000	88800000	chr18	89000000	89010000	0.00524628360842651	2.599207668339954
chr19	7040000	7050000	chr19	7160000	7170000	0.006045472799349305	2.111212657236631
chr19	41630000	41640000	chr19	41750000	41760000	0.004776795067867656	2.111212657236631
chr19	58900000	58910000	chr19	59180000	59190000	0.0021265758527010403	2.111212657236631
chr19	60870000	60880000	chr19	61070000	61080000	0.0021279567796385805	2.111212657236631
chrY	2900000	2910000	chrY	3320000	3330000	3.4577118945833267e-09	3.2
